# DateTimeBegin,DateTimeEnd,Description,CategoryAge,Difficulty,TrainingCampDays,Location,Distance
2020-02-03,2020-02-07,München Tranining Camp,-,0,5,München,550
2020-03-02,2020-03-07,OTC Nymburk,-,0,5,Nymburk,700
2020-03-09,2020-03-11,EC Zagreb,Cadets,3,Zagreb,Zagreb,0
2020-03-21,2020-03-22,Thüringen pokal Njemačka (Njemački juniorski i kadetski kriterijski turnir),-,0,0,Thüringen,900
2020-04-04,2020-04-04,EC Lignano,Juniors,0,0,Lignano,400
2020-03-23,2020-03-25,Thüringen pokal Njemačka (Njemački juniorski i kadetski kriterijski turnir),-,0,0,Thüringen,900
2020-04-06,2020-04-08,EC Lignano Training Camp,Juniors,,,,
2020-05-30,2020-05-30,EC Leibnitz,Juniors,,,,
2020-05-30,2020-05-30,EC Leibnitz Training Camp,Juniors,,,,
2020-06-08,2020-06-14,OTC Porec,-,,,,
2020-06-22,2020-06-24,EJU Celje Training Camp,Seniors,,,,
2020-06-27,2020-06-27,EJU Sarajevo,Juniors,,,,
2020-06-29,2020-07-01,EJU Sarajevo Training Camp,Juniors,,,,
2020-07-06,2020-07-10,OTC Tata Hungary,-,,,,
2020-07-11,2020-07-11,EC Paks,,,,,
